x:image,x2:spectrogram,y:label;nofire;fire,temperature,humidity
./fire/train/fire_0459.jpg,./fire/train/0480.png,1,35.0,15.0
./nofire/train/nofire_0021.jpg,./nofire/train/0023.png,0,29.0,53.0
./fire/train/fire_0210.jpg,./fire/train/0228.png,1,42.0,19.0
./nofire/train/nofire_0689.jpg,./nofire/train/0703.png,0,29.0,67.0
./nofire/train/nofire_0680.jpg,./nofire/train/0692.png,0,22.0,61.0
./fire/train/fire_0881.jpg,./fire/train/0885.png,1,36.0,20.0
./fire/train/fire_0812.jpg,./fire/train/0817.png,1,42.0,38.0
./fire/train/fire_0108.jpg,./fire/train/0125.png,1,46.0,29.0
./fire/train/fire_0162.jpg,./fire/train/0177.png,1,44.0,28.0
./nofire/train/nofire_0457.jpg,./nofire/train/0469.png,0,24.0,64.0
./nofire/train/nofire_0209.jpg,./nofire/train/0224.png,0,27.0,70.0
./nofire/train/nofire_0916.jpg,./nofire/train/0919.png,0,21.0,62.0
./nofire/train/nofire_0339.jpg,./nofire/train/0351.png,0,22.0,70.0
./fire/train/fire_0055.jpg,./fire/train/0061.png,1,44.0,16.0
./fire/train/fire_0491.jpg,./fire/train/0512.png,1,39.0,13.0
./fire/train/fire_0631.jpg,./fire/train/0631.png,1,35.0,25.0
./nofire/train/nofire_0268.jpg,./nofire/train/0286.png,0,26.0,65.0
./nofire/train/nofire_0384.jpg,./nofire/train/0397.png,0,23.0,60.0
./nofire/train/nofire_0460.jpg,./nofire/train/0472.png,0,26.0,67.0
./nofire/train/nofire_0524.jpg,./nofire/train/0541.png,0,27.0,53.0
./fire/train/fire_0767.jpg,./fire/train/0771.png,1,47.0,38.0
./nofire/train/nofire_0927.jpg,./nofire/train/0928.png,0,29.0,60.0
./nofire/train/nofire_0377.jpg,./nofire/train/0389.png,0,26.0,50.0
./fire/train/fire_0513.jpg,./fire/train/0534.png,1,45.0,27.0
./nofire/train/nofire_0236.jpg,./nofire/train/0253.png,0,20.0,63.0
./nofire/train/nofire_0881.jpg,./nofire/train/0885.png,0,24.0,63.0
./fire/train/fire_0685.jpg,./fire/train/0687.png,1,39.0,28.0
./fire/train/fire_0416.jpg,./fire/train/0441.png,1,36.0,33.0
./nofire/train/nofire_0325.jpg,./nofire/train/0338.png,0,24.0,65.0
./nofire/train/nofire_0505.jpg,./nofire/train/0521.png,0,20.0,64.0
./fire/train/fire_0930.jpg,./fire/train/0929.png,1,38.0,40.0
./fire/train/fire_0833.jpg,./fire/train/0841.png,1,45.0,26.0
./nofire/train/nofire_0108.jpg,./nofire/train/0119.png,0,27.0,59.0
./nofire/train/nofire_0159.jpg,./nofire/train/0172.png,0,20.0,60.0
./nofire/train/nofire_0650.jpg,./nofire/train/0665.png,0,26.0,52.0
./fire/train/fire_0144.jpg,./fire/train/0161.png,1,39.0,36.0
./nofire/train/nofire_0698.jpg,./nofire/train/0711.png,0,26.0,67.0
./nofire/train/nofire_0435.jpg,./nofire/train/0447.png,0,23.0,61.0
./fire/train/fire_0147.jpg,./fire/train/0163.png,1,35.0,23.0
./fire/train/fire_0547.jpg,./fire/train/0562.png,1,46.0,26.0
./fire/train/fire_0218.jpg,./fire/train/0237.png,1,35.0,11.0
./fire/train/fire_0908.jpg,./fire/train/0908.png,1,36.0,21.0
./fire/train/fire_0009.jpg,./fire/train/0010.png,1,46.0,29.0
./nofire/train/nofire_0570.jpg,./nofire/train/0582.png,0,24.0,52.0
./nofire/train/nofire_0723.jpg,./nofire/train/0738.png,0,20.0,68.0
./nofire/train/nofire_0533.jpg,./nofire/train/0549.png,0,29.0,64.0
./nofire/train/nofire_0704.jpg,./nofire/train/0716.png,0,25.0,69.0
./nofire/train/nofire_0637.jpg,./nofire/train/0652.png,0,22.0,51.0
./nofire/train/nofire_0171.jpg,./nofire/train/0182.png,0,20.0,69.0
./fire/train/fire_0051.jpg,./fire/train/0054.png,1,48.0,10.0
